word	target	forms	processes	indicators	reactions	smile
façon						S1
tous						S1
les						S1
a-						S1
les						S1
journalistes						S1
c'est						S1
des						S1
rapaces						S1
hein						S1
de						S1
toute						S1
façon						S1
c'est						S1
j'avais						S1
vu						S1
une						S1
un						S1
truc						S1
en						S1
plus						S1
sur						S1
ça						S1
une						S1
émission						S1
là						S1
qui						S1
parlaient						S1
des						S1
journalism-						S1
des						S1
journalistes						S1
c'était						S0
horrible						S0
genre						S0
euh						S0
ils						S0
étap-						S0
ils						S0
étaient						S0
prêts						S0
à						S0
tout						S0
quoi						S0
mais						S0
prêts						S0
à						S0
tout						S0
pour						S0
avoir						S0
leur						S0
information						S0
quoi						S0
c'était						S0
un						S0
truc						S0
de						S0
fou						S0
abusé						S0
ouais						S0
les						S0
paparazzi						S0
ouais						S0
c'est						S0
ouais						S0
après						S0
la						S0
mh						S0
un						S2 
pas-						S2 
mmm						S2 
non						S2 
c'est						S2 
du-						S2 
ouais						S2 
ouais						S2 
qui	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
veut	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
pas	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
faire	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
de	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
mal	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
genre	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
poussez	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
vous	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
haha	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
ha	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	rire/prosodie	positive	S4
non						S4
c'est						S4
pas						S4
un						S4
pap-						S4
non						S4
c'est						S4
pas						S4
possible						S4
c'est						S4
comment						S4
on						S4
dit						S4
là						S4
sortez						S4
bien						S4
à						S4
ce						S4
moment						S4
sortez	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
bien	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
ce	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
moment	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
là	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
euh	A	moquerie	fictionnalisation/discours rapporté fictif/jouer le jeu	prosodie	positive	S4
ouais						S1
c'est						S1
sûr						S1
que						S1
mais						S1
paparazzi						S1
c'est						S0
pas						S0
v-						S0
comme						S0
journaliste						S0
tu						S0
vois						S0
moi						S0
ma						S0
cousine						S0
elle						S0
est						S0
journaliste						S0
pour						S0
les						S0
faits						S0
divers						S0
tu						S0
vois						S0
pour						S0
La						S0
Provence						S0
là						S0
c'est						S0
pas						S0
pour						S0
autant						S0
que						S0
en						S0
fin						S0
m-						S0
elle						S0
est						S0
pas						S0
c'est						S0
pas						S0
une						S0
rapace						S0
tu						S0
vois						S0
elle						S0
va						S0
pas						S0
courir						S0
après						S0
l						S0
info						S0
euh						S0
en						S0
même						S0
temps						S0
peut-être						S0
que						S0
elle						S0
a						S0
sa						S0
place						S0
quoi						S0
t'						S0
vois						S0
ah						S0
ah						S0
ils						S0
ont						S0
pas-						S0
pas						S0
de						S0
valeur						S0
pas						S0
de						S0
oui						S0
eh						S0
ben						S0
justement						S0
il						S0
y						S0
a						S0
voilà						S0
eh						S0
ben						S0
justement						S0
les						S2
paparazzi						S2
moi						S2
je						S2
pense						S2
que						S2
c'est						S2
euh						S0
c'est						S0
ça						S0
un						S0
paparazzi						S0
c'est						S0
il						S0
va						S0
dans						S0
la						S0
vie						S0
des						S0
#						S0
#						S0
tu						S0
vois						S0
il						S0
se						S0
gêne						S0
pas						S0
genre						S0
sinon						S0
c'est						S0
pas						S0
un						S0
paparazzi						S1
fin						S0
pour						S0
moi						S0
ouais						S0
oui						S0
oui						S0
u						S0
ouais						S0
t'						S0
as						S0
le						S0
droit						S0
de						S0
mais						S0
capter						S0
l						S0
image						S0
c'est						S0
paparazzi						S0
journaliste						S0
il						S0
fait						S0
pas						S0
que						S0
capter						S0
l						S0
image						S0
hein						S0
un						S0
journaliste						S0
il						S0
est						S0
il						S0
p-						S0
va						S0
prendre						S0
l						S0
information						S0
quoi						S0
il						S0
va						S0
te						S0
euh						S0
de						S0
dire						S0
quoi						S0
tu						S0
vois						S0
mh						S0
d						S0
mmm						S0
non						S1
j'ai						S1
vu						S1
un						S1
film						S1
